metric,value
rows_bats_panel,2262
rows_viirs,754
rows_joined,2262
share_rows_missing_viirs,0
min_year_bats,2012
max_year_bats,2024
min_year_viirs,2012
max_year_viirs,2024
share_missing_viirs_year: 2012,0
share_missing_viirs_year: 2013,0
share_missing_viirs_year: 2014,0
share_missing_viirs_year: 2015,0
share_missing_viirs_year: 2016,0
share_missing_viirs_year: 2017,0
share_missing_viirs_year: 2018,0
share_missing_viirs_year: 2019,0
share_missing_viirs_year: 2020,0
share_missing_viirs_year: 2021,0
share_missing_viirs_year: 2022,0
share_missing_viirs_year: 2023,0
share_missing_viirs_year: 2024,0
