GEOID,year,species_key,n_obs,county_name,species_label
06001,2012,2432425,0,Alameda,Myotis californicus
06001,2012,2432461,0,Alameda,Myotis yumanensis
06001,2012,11138256,0,Alameda,Aeorestes cinereus
06003,2012,2432425,0,Alpine,Myotis californicus
06003,2012,2432461,0,Alpine,Myotis yumanensis
06003,2012,11138256,0,Alpine,Aeorestes cinereus
06005,2012,2432425,0,Amador,Myotis californicus
06005,2012,2432461,0,Amador,Myotis yumanensis
06005,2012,11138256,0,Amador,Aeorestes cinereus
06007,2012,2432425,0,Butte,Myotis californicus
06007,2012,2432461,0,Butte,Myotis yumanensis
06007,2012,11138256,1,Butte,Aeorestes cinereus
06009,2012,2432425,0,Calaveras,Myotis californicus
06009,2012,2432461,0,Calaveras,Myotis yumanensis
06009,2012,11138256,0,Calaveras,Aeorestes cinereus
06011,2012,2432425,0,Colusa,Myotis californicus
06011,2012,2432461,0,Colusa,Myotis yumanensis
06011,2012,11138256,0,Colusa,Aeorestes cinereus
06013,2012,2432425,0,Contra Costa,Myotis californicus
06013,2012,2432461,0,Contra Costa,Myotis yumanensis
06013,2012,11138256,0,Contra Costa,Aeorestes cinereus
06015,2012,2432425,0,Del Norte,Myotis californicus
06015,2012,2432461,0,Del Norte,Myotis yumanensis
06015,2012,11138256,0,Del Norte,Aeorestes cinereus
06017,2012,2432425,0,El Dorado,Myotis californicus
06017,2012,2432461,0,El Dorado,Myotis yumanensis
06017,2012,11138256,0,El Dorado,Aeorestes cinereus
06019,2012,2432425,0,Fresno,Myotis californicus
06019,2012,2432461,0,Fresno,Myotis yumanensis
06019,2012,11138256,0,Fresno,Aeorestes cinereus
06021,2012,2432425,0,Glenn,Myotis californicus
06021,2012,2432461,0,Glenn,Myotis yumanensis
06021,2012,11138256,0,Glenn,Aeorestes cinereus
06023,2012,2432425,0,Humboldt,Myotis californicus
06023,2012,2432461,0,Humboldt,Myotis yumanensis
06023,2012,11138256,0,Humboldt,Aeorestes cinereus
06025,2012,2432425,0,Imperial,Myotis californicus
06025,2012,2432461,0,Imperial,Myotis yumanensis
06025,2012,11138256,0,Imperial,Aeorestes cinereus
06027,2012,2432425,0,Inyo,Myotis californicus
06027,2012,2432461,0,Inyo,Myotis yumanensis
06027,2012,11138256,0,Inyo,Aeorestes cinereus
06029,2012,2432425,0,Kern,Myotis californicus
06029,2012,2432461,0,Kern,Myotis yumanensis
06029,2012,11138256,0,Kern,Aeorestes cinereus
06031,2012,2432425,0,Kings,Myotis californicus
06031,2012,2432461,0,Kings,Myotis yumanensis
06031,2012,11138256,0,Kings,Aeorestes cinereus
06033,2012,2432425,0,Lake,Myotis californicus
06033,2012,2432461,0,Lake,Myotis yumanensis
06033,2012,11138256,0,Lake,Aeorestes cinereus
06035,2012,2432425,0,Lassen,Myotis californicus
06035,2012,2432461,0,Lassen,Myotis yumanensis
06035,2012,11138256,0,Lassen,Aeorestes cinereus
06037,2012,2432425,0,Los Angeles,Myotis californicus
06037,2012,2432461,0,Los Angeles,Myotis yumanensis
06037,2012,11138256,1,Los Angeles,Aeorestes cinereus
06039,2012,2432425,0,Madera,Myotis californicus
06039,2012,2432461,0,Madera,Myotis yumanensis
06039,2012,11138256,0,Madera,Aeorestes cinereus
06041,2012,2432425,1,Marin,Myotis californicus
06041,2012,2432461,0,Marin,Myotis yumanensis
06041,2012,11138256,0,Marin,Aeorestes cinereus
06043,2012,2432425,0,Mariposa,Myotis californicus
06043,2012,2432461,0,Mariposa,Myotis yumanensis
06043,2012,11138256,0,Mariposa,Aeorestes cinereus
06045,2012,2432425,0,Mendocino,Myotis californicus
06045,2012,2432461,0,Mendocino,Myotis yumanensis
06045,2012,11138256,0,Mendocino,Aeorestes cinereus
06047,2012,2432425,0,Merced,Myotis californicus
06047,2012,2432461,0,Merced,Myotis yumanensis
06047,2012,11138256,0,Merced,Aeorestes cinereus
06049,2012,2432425,0,Modoc,Myotis californicus
06049,2012,2432461,0,Modoc,Myotis yumanensis
06049,2012,11138256,0,Modoc,Aeorestes cinereus
06051,2012,2432425,0,Mono,Myotis californicus
06051,2012,2432461,0,Mono,Myotis yumanensis
06051,2012,11138256,0,Mono,Aeorestes cinereus
06053,2012,2432425,0,Monterey,Myotis californicus
06053,2012,2432461,0,Monterey,Myotis yumanensis
06053,2012,11138256,0,Monterey,Aeorestes cinereus
06055,2012,2432425,0,Napa,Myotis californicus
06055,2012,2432461,0,Napa,Myotis yumanensis
06055,2012,11138256,0,Napa,Aeorestes cinereus
06057,2012,2432425,0,Nevada,Myotis californicus
06057,2012,2432461,0,Nevada,Myotis yumanensis
06057,2012,11138256,0,Nevada,Aeorestes cinereus
06059,2012,2432425,0,Orange,Myotis californicus
06059,2012,2432461,0,Orange,Myotis yumanensis
06059,2012,11138256,0,Orange,Aeorestes cinereus
06061,2012,2432425,0,Placer,Myotis californicus
06061,2012,2432461,0,Placer,Myotis yumanensis
06061,2012,11138256,0,Placer,Aeorestes cinereus
06063,2012,2432425,0,Plumas,Myotis californicus
06063,2012,2432461,0,Plumas,Myotis yumanensis
06063,2012,11138256,0,Plumas,Aeorestes cinereus
06065,2012,2432425,1,Riverside,Myotis californicus
06065,2012,2432461,1,Riverside,Myotis yumanensis
06065,2012,11138256,0,Riverside,Aeorestes cinereus
06067,2012,2432425,0,Sacramento,Myotis californicus
06067,2012,2432461,0,Sacramento,Myotis yumanensis
06067,2012,11138256,0,Sacramento,Aeorestes cinereus
06069,2012,2432425,0,San Benito,Myotis californicus
06069,2012,2432461,0,San Benito,Myotis yumanensis
06069,2012,11138256,0,San Benito,Aeorestes cinereus
06071,2012,2432425,1,San Bernardino,Myotis californicus
06071,2012,2432461,1,San Bernardino,Myotis yumanensis
06071,2012,11138256,3,San Bernardino,Aeorestes cinereus
06073,2012,2432425,1,San Diego,Myotis californicus
06073,2012,2432461,3,San Diego,Myotis yumanensis
06073,2012,11138256,8,San Diego,Aeorestes cinereus
06075,2012,2432425,0,San Francisco,Myotis californicus
06075,2012,2432461,0,San Francisco,Myotis yumanensis
06075,2012,11138256,0,San Francisco,Aeorestes cinereus
06077,2012,2432425,0,San Joaquin,Myotis californicus
06077,2012,2432461,0,San Joaquin,Myotis yumanensis
06077,2012,11138256,0,San Joaquin,Aeorestes cinereus
06079,2012,2432425,1,San Luis Obispo,Myotis californicus
06079,2012,2432461,0,San Luis Obispo,Myotis yumanensis
06079,2012,11138256,0,San Luis Obispo,Aeorestes cinereus
06081,2012,2432425,0,San Mateo,Myotis californicus
06081,2012,2432461,0,San Mateo,Myotis yumanensis
06081,2012,11138256,1,San Mateo,Aeorestes cinereus
06083,2012,2432425,0,Santa Barbara,Myotis californicus
06083,2012,2432461,0,Santa Barbara,Myotis yumanensis
06083,2012,11138256,0,Santa Barbara,Aeorestes cinereus
06085,2012,2432425,0,Santa Clara,Myotis californicus
06085,2012,2432461,0,Santa Clara,Myotis yumanensis
06085,2012,11138256,0,Santa Clara,Aeorestes cinereus
06087,2012,2432425,0,Santa Cruz,Myotis californicus
06087,2012,2432461,0,Santa Cruz,Myotis yumanensis
06087,2012,11138256,0,Santa Cruz,Aeorestes cinereus
