gbif_id,dataset_key,occurrence_id,kingdom,phylum,class,order,family,genus,species,infraspecific_epithet,taxon_rank,scientific_name,verbatim_scientific_name,verbatim_scientific_name_authorship,country_code,locality,state_province,occurrence_status,individual_count,publishing_org_key,decimal_latitude,decimal_longitude,coordinate_uncertainty_in_meters,coordinate_precision,elevation,elevation_accuracy,depth,depth_accuracy,event_date,day,month,year,taxon_key,species_key,basis_of_record,institution_code,collection_code,catalog_number,record_number,identified_by,date_identified,license,rights_holder,recorded_by,type_status,establishment_means,last_interpreted,media_type,issue
923915457,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/735561,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,,SPECIES,"Lasiurus cinereus (Palisot de Beauvois, 1796)",Lasiurus cinereus,,US,,Arizona,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.198284,-111.651302,13926,NA,NA,NA,NA,NA,2014-05-28,28,5,2014,5218544,11138256,HUMAN_OBSERVATION,iNaturalist,Observations,735561,,sas103,2014-06-13T23:11:30Z,CC_BY_NC_4_0,sas103,sas103,,,2025-12-10T17:39:21Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
923915092,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/734207,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis californicus,,SPECIES,"Myotis californicus (Audubon & Bachman, 1842)",Myotis californicus,,MX,,Sonora,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,26.874314,-108.975091,10000,NA,NA,NA,NA,NA,2014-06-11,11,6,2014,2432425,2432425,HUMAN_OBSERVATION,iNaturalist,Observations,734207,,almis_leo,2014-06-12T22:53:29Z,CC_BY_NC_4_0,almis_leo,almis_leo,,,2025-12-10T19:24:16Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
899958252,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/598903,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,,SPECIES,"Lasiurus cinereus (Palisot de Beauvois, 1796)",Lasiurus cinereus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.898403,-122.575822,NA,NA,NA,NA,NA,NA,2014-03-28,28,3,2014,5218544,11138256,HUMAN_OBSERVATION,iNaturalist,Observations,598903,,jszewczak,2014-03-29T21:55:39Z,CC_BY_NC_4_0,jszewczak,jszewczak,,,2025-12-10T17:39:04Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
899957165,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/593261,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,,SPECIES,"Lasiurus cinereus (Palisot de Beauvois, 1796)",Lasiurus cinereus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.892113,-122.572074,38,NA,NA,NA,NA,NA,2014-03-28T20:21:36,28,3,2014,5218544,11138256,HUMAN_OBSERVATION,iNaturalist,Observations,593261,,longhairedlizzy,2014-03-29T06:14:41Z,CC_BY_4_0,longhairedlizzy,longhairedlizzy,,,2025-12-10T17:39:09Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
899953086,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/580165,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,,SPECIES,"Lasiurus cinereus (Palisot de Beauvois, 1796)",Lasiurus cinereus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,38.100577,-122.863973,5,NA,NA,NA,NA,NA,2014-03-23T18:04:03,23,3,2014,5218544,11138256,HUMAN_OBSERVATION,iNaturalist,Observations,580165,,Todd Plummer,2014-03-24T01:45:18Z,CC_BY_NC_4_0,Todd Plummer,Todd Plummer,,,2025-12-10T19:24:29Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
899943061,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/447748,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis californicus,,SPECIES,"Myotis californicus (Audubon & Bachman, 1842)",Myotis californicus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,34.146647,-118.807373,6078,NA,NA,NA,NA,NA,2013-11-04,4,11,2013,2432425,2432425,HUMAN_OBSERVATION,iNaturalist,Observations,447748,,jne,2013-11-04T15:59:50Z,CC_BY_NC_4_0,jne,jne,,,2025-12-10T19:24:06Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
894779607,71e82020-f762-11e1-a439-00145eb45e9a,urn:catalog:OMNH:OCGR:10706,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis yumanensis,,SPECIES,"Myotis yumanensis (H.Allen, 1864)",Myotis yumanensis,,US,"3.3 mi S, 4.6 mi E, Kenton, Black Mesa State Park, campground area",Oklahoma,PRESENT,NA,609765e0-4ce8-11db-b80e-b8a03c50a862,36.84478,-102.8792,NA,NA,NA,NA,NA,NA,2012-09-22,22,9,2012,2432461,2432461,PRESERVED_SPECIMEN,OMNH,OCGR,10706,MP 3464,,NA,CC0_1_0,,"Czaplewski, NJ",,,2025-11-24T18:11:18Z,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
894779577,71e82020-f762-11e1-a439-00145eb45e9a,urn:catalog:OMNH:OCGR:10705,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,,SPECIES,"Lasiurus cinereus (Palisot de Beauvois, 1796)",Lasiurus cinereus,,US,"3.3 mi S, 4.6 mi E, Kenton, Black Mesa State Park, campground area",Oklahoma,PRESENT,NA,609765e0-4ce8-11db-b80e-b8a03c50a862,36.84478,-102.8792,NA,NA,NA,NA,NA,NA,2012-09-23,23,9,2012,5218544,11138256,PRESERVED_SPECIMEN,OMNH,OCGR,10705,MP 3465,,NA,CC0_1_0,,"Czaplewski, NJ",,,2025-11-24T18:11:18Z,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
894749655,84aefc7e-f762-11e1-a439-00145eb45e9a,urn:catalog:OMNH:Mammals:51621,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis yumanensis,,SPECIES,"Myotis yumanensis (H.Allen, 1864)",Myotis yumanensis,,US,"3.3 mi S, 4.6 mi E Kenton, Black Mesa State Park",Oklahoma,PRESENT,NA,609765e0-4ce8-11db-b80e-b8a03c50a862,36.84478,-102.8792,NA,NA,NA,NA,NA,NA,2012-09-22,22,9,2012,2432461,2432461,PRESERVED_SPECIMEN,OMNH,Mammals,51621,"MP , 3464",,NA,CC0_1_0,,"Czaplewski, N. J.",,,2025-11-25T15:45:56Z,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
894749652,84aefc7e-f762-11e1-a439-00145eb45e9a,urn:catalog:OMNH:Mammals:51620,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,,SPECIES,"Lasiurus cinereus (Palisot de Beauvois, 1796)",Lasiurus cinereus,,US,"3.3 mi S, 4.6 mi E Kenton, Black Mesa State Park",Oklahoma,PRESENT,NA,609765e0-4ce8-11db-b80e-b8a03c50a862,36.84478,-102.8792,NA,NA,NA,NA,NA,NA,2012-09-23,23,9,2012,5218544,11138256,PRESERVED_SPECIMEN,OMNH,Mammals,51620,"MP , 3465",,NA,CC0_1_0,,"Czaplewski, N. J.",,,2025-11-25T15:45:56Z,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
