metric,value
nlcd_file,C:/Users/mpp24/Documents/eds-capstone-bats-light-pollution/data/raw/covariates/Annual_NLCD_LndCov_2019_CU_C1V1.tif
padus_gdb,C:/Users/mpp24/Documents/eds-capstone-bats-light-pollution/data/raw/covariates/PADUS4_1VectorAnalysis_PADUS_Only.gdb
padus_layer,PADUS4_1VectorAnalysis_PADUS_Only_Simp_SingP
gap_field_used,GAP_Sts
n_counties,58
share_missing_pct_developed,0
share_missing_pct_protected,0
pct_developed_min,0.320920339005105
pct_developed_max,95.6028129064496
pct_protected_min,1.95269803496651
pct_protected_max,93.8806117097625
