cell_id,species,n_obs,is_present
1000,Aeorestes cinereus,0,0
1000,Myotis californicus,0,0
1000,Myotis yumanensis,0,0
1001,Aeorestes cinereus,0,0
1001,Myotis californicus,0,0
1001,Myotis yumanensis,0,0
1002,Aeorestes cinereus,0,0
1002,Myotis californicus,0,0
1002,Myotis yumanensis,0,0
1003,Aeorestes cinereus,0,0
1003,Myotis californicus,0,0
1003,Myotis yumanensis,0,0
1004,Aeorestes cinereus,0,0
1004,Myotis californicus,0,0
1004,Myotis yumanensis,0,0
1005,Aeorestes cinereus,0,0
1005,Myotis californicus,0,0
1005,Myotis yumanensis,0,0
1006,Aeorestes cinereus,0,0
1006,Myotis californicus,0,0
1006,Myotis yumanensis,0,0
1007,Aeorestes cinereus,0,0
1007,Myotis californicus,1,1
1007,Myotis yumanensis,0,0
1070,Aeorestes cinereus,0,0
1070,Myotis californicus,0,0
1070,Myotis yumanensis,0,0
1071,Aeorestes cinereus,0,0
1071,Myotis californicus,0,0
1071,Myotis yumanensis,0,0
1072,Aeorestes cinereus,1,1
1072,Myotis californicus,1,1
1072,Myotis yumanensis,0,0
1073,Aeorestes cinereus,0,0
1073,Myotis californicus,0,0
1073,Myotis yumanensis,0,0
1074,Aeorestes cinereus,0,0
1074,Myotis californicus,0,0
1074,Myotis yumanensis,0,0
1075,Aeorestes cinereus,0,0
1075,Myotis californicus,0,0
1075,Myotis yumanensis,0,0
1076,Aeorestes cinereus,0,0
1076,Myotis californicus,1,1
1076,Myotis yumanensis,0,0
1077,Aeorestes cinereus,0,0
1077,Myotis californicus,0,0
1077,Myotis yumanensis,0,0
1078,Aeorestes cinereus,0,0
1078,Myotis californicus,0,0
1078,Myotis yumanensis,0,0
1079,Aeorestes cinereus,0,0
1079,Myotis californicus,0,0
1079,Myotis yumanensis,0,0
1080,Aeorestes cinereus,0,0
1080,Myotis californicus,0,0
1080,Myotis yumanensis,0,0
1081,Aeorestes cinereus,0,0
1081,Myotis californicus,0,0
1081,Myotis yumanensis,0,0
1082,Aeorestes cinereus,0,0
1082,Myotis californicus,0,0
1082,Myotis yumanensis,0,0
1083,Aeorestes cinereus,0,0
1083,Myotis californicus,0,0
1083,Myotis yumanensis,0,0
1084,Aeorestes cinereus,0,0
1084,Myotis californicus,0,0
1084,Myotis yumanensis,0,0
1085,Aeorestes cinereus,0,0
1085,Myotis californicus,0,0
1085,Myotis yumanensis,0,0
1086,Aeorestes cinereus,0,0
1086,Myotis californicus,0,0
1086,Myotis yumanensis,0,0
1087,Aeorestes cinereus,0,0
1087,Myotis californicus,0,0
1087,Myotis yumanensis,0,0
1088,Aeorestes cinereus,0,0
1088,Myotis californicus,0,0
1088,Myotis yumanensis,0,0
1092,Aeorestes cinereus,0,0
1092,Myotis californicus,0,0
1092,Myotis yumanensis,0,0
1093,Aeorestes cinereus,0,0
1093,Myotis californicus,0,0
1093,Myotis yumanensis,0,0
1094,Aeorestes cinereus,0,0
1094,Myotis californicus,0,0
1094,Myotis yumanensis,0,0
1095,Aeorestes cinereus,0,0
1095,Myotis californicus,0,0
1095,Myotis yumanensis,0,0
1096,Aeorestes cinereus,0,0
1096,Myotis californicus,0,0
1096,Myotis yumanensis,0,0
1097,Aeorestes cinereus,0,0
1097,Myotis californicus,0,0
1097,Myotis yumanensis,0,0
1098,Aeorestes cinereus,0,0
1098,Myotis californicus,0,0
1098,Myotis yumanensis,0,0
1099,Aeorestes cinereus,0,0
1099,Myotis californicus,0,0
1099,Myotis yumanensis,0,0
1100,Aeorestes cinereus,0,0
1100,Myotis californicus,0,0
1100,Myotis yumanensis,0,0
1161,Aeorestes cinereus,0,0
1161,Myotis californicus,0,0
1161,Myotis yumanensis,0,0
1162,Aeorestes cinereus,0,0
1162,Myotis californicus,0,0
1162,Myotis yumanensis,0,0
1163,Aeorestes cinereus,0,0
1163,Myotis californicus,0,0
1163,Myotis yumanensis,0,0
1164,Aeorestes cinereus,1,1
1164,Myotis californicus,0,0
1164,Myotis yumanensis,1,1
1165,Aeorestes cinereus,0,0
1165,Myotis californicus,0,0
1165,Myotis yumanensis,0,0
1166,Aeorestes cinereus,0,0
1166,Myotis californicus,0,0
1166,Myotis yumanensis,0,0
1167,Aeorestes cinereus,0,0
1167,Myotis californicus,0,0
1167,Myotis yumanensis,0,0
1168,Aeorestes cinereus,0,0
1168,Myotis californicus,0,0
1168,Myotis yumanensis,0,0
1169,Aeorestes cinereus,0,0
1169,Myotis californicus,0,0
1169,Myotis yumanensis,0,0
1170,Aeorestes cinereus,0,0
1170,Myotis californicus,0,0
1170,Myotis yumanensis,0,0
1171,Aeorestes cinereus,0,0
1171,Myotis californicus,0,0
1171,Myotis yumanensis,0,0
1172,Aeorestes cinereus,0,0
1172,Myotis californicus,0,0
1172,Myotis yumanensis,0,0
1173,Aeorestes cinereus,0,0
1173,Myotis californicus,0,0
1173,Myotis yumanensis,1,1
1174,Aeorestes cinereus,0,0
1174,Myotis californicus,1,1
1174,Myotis yumanensis,0,0
1175,Aeorestes cinereus,0,0
1175,Myotis californicus,0,0
1175,Myotis yumanensis,0,0
1176,Aeorestes cinereus,1,1
1176,Myotis californicus,0,0
1176,Myotis yumanensis,0,0
1177,Aeorestes cinereus,0,0
1177,Myotis californicus,0,0
1177,Myotis yumanensis,0,0
1178,Aeorestes cinereus,0,0
1178,Myotis californicus,0,0
1178,Myotis yumanensis,0,0
1179,Aeorestes cinereus,0,0
1179,Myotis californicus,0,0
1179,Myotis yumanensis,0,0
1180,Aeorestes cinereus,0,0
1180,Myotis californicus,0,0
1180,Myotis yumanensis,0,0
1181,Aeorestes cinereus,0,0
1181,Myotis californicus,0,0
1181,Myotis yumanensis,0,0
1187,Aeorestes cinereus,0,0
1187,Myotis californicus,0,0
1187,Myotis yumanensis,0,0
1188,Aeorestes cinereus,0,0
1188,Myotis californicus,0,0
1188,Myotis yumanensis,0,0
1189,Aeorestes cinereus,0,0
1189,Myotis californicus,0,0
1189,Myotis yumanensis,0,0
1190,Aeorestes cinereus,0,0
1190,Myotis californicus,0,0
1190,Myotis yumanensis,0,0
1191,Aeorestes cinereus,0,0
1191,Myotis californicus,0,0
1191,Myotis yumanensis,0,0
1192,Aeorestes cinereus,0,0
1192,Myotis californicus,0,0
1192,Myotis yumanensis,0,0
1249,Aeorestes cinereus,0,0
1249,Myotis californicus,0,0
1249,Myotis yumanensis,0,0
1250,Aeorestes cinereus,0,0
1250,Myotis californicus,0,0
1250,Myotis yumanensis,0,0
1251,Aeorestes cinereus,0,0
1251,Myotis californicus,0,0
1251,Myotis yumanensis,0,0
1252,Aeorestes cinereus,0,0
1252,Myotis californicus,0,0
1252,Myotis yumanensis,0,0
1253,Aeorestes cinereus,0,0
1253,Myotis californicus,0,0
1253,Myotis yumanensis,0,0
1254,Aeorestes cinereus,0,0
1254,Myotis californicus,0,0
1254,Myotis yumanensis,0,0
1255,Aeorestes cinereus,0,0
1255,Myotis californicus,0,0
1255,Myotis yumanensis,0,0
1256,Aeorestes cinereus,0,0
1256,Myotis californicus,0,0
1256,Myotis yumanensis,0,0
1257,Aeorestes cinereus,0,0
1257,Myotis californicus,0,0
1257,Myotis yumanensis,0,0
1258,Aeorestes cinereus,0,0
1258,Myotis californicus,0,0
1258,Myotis yumanensis,0,0
1259,Aeorestes cinereus,0,0
1259,Myotis californicus,0,0
1259,Myotis yumanensis,0,0
1260,Aeorestes cinereus,0,0
1260,Myotis californicus,0,0
1260,Myotis yumanensis,0,0
1261,Aeorestes cinereus,0,0
1261,Myotis californicus,0,0
1261,Myotis yumanensis,0,0
1262,Aeorestes cinereus,0,0
1262,Myotis californicus,0,0
1262,Myotis yumanensis,0,0
1263,Aeorestes cinereus,0,0
1263,Myotis californicus,0,0
1263,Myotis yumanensis,0,0
1264,Aeorestes cinereus,0,0
1264,Myotis californicus,2,1
1264,Myotis yumanensis,0,0
1265,Aeorestes cinereus,0,0
1265,Myotis californicus,0,0
1265,Myotis yumanensis,0,0
1266,Aeorestes cinereus,0,0
1266,Myotis californicus,0,0
1266,Myotis yumanensis,0,0
1267,Aeorestes cinereus,0,0
1267,Myotis californicus,0,0
1267,Myotis yumanensis,0,0
1268,Aeorestes cinereus,0,0
1268,Myotis californicus,0,0
1268,Myotis yumanensis,0,0
1269,Aeorestes cinereus,0,0
1269,Myotis californicus,0,0
1269,Myotis yumanensis,0,0
1270,Aeorestes cinereus,0,0
1270,Myotis californicus,0,0
1270,Myotis yumanensis,0,0
1271,Aeorestes cinereus,0,0
1271,Myotis californicus,0,0
1271,Myotis yumanensis,0,0
1272,Aeorestes cinereus,0,0
1272,Myotis californicus,0,0
1272,Myotis yumanensis,0,0
1273,Aeorestes cinereus,0,0
1273,Myotis californicus,0,0
1273,Myotis yumanensis,0,0
1280,Aeorestes cinereus,0,0
1280,Myotis californicus,0,0
1280,Myotis yumanensis,0,0
1281,Aeorestes cinereus,0,0
1281,Myotis californicus,0,0
1281,Myotis yumanensis,0,0
1282,Aeorestes cinereus,0,0
1282,Myotis californicus,0,0
1282,Myotis yumanensis,0,0
1283,Aeorestes cinereus,0,0
1283,Myotis californicus,0,0
1283,Myotis yumanensis,0,0
1284,Aeorestes cinereus,0,0
1284,Myotis californicus,0,0
1284,Myotis yumanensis,0,0
1341,Aeorestes cinereus,0,0
1341,Myotis californicus,0,0
1341,Myotis yumanensis,0,0
1342,Aeorestes cinereus,0,0
1342,Myotis californicus,0,0
1342,Myotis yumanensis,0,0
1343,Aeorestes cinereus,1,1
1343,Myotis californicus,0,0
1343,Myotis yumanensis,0,0
1344,Aeorestes cinereus,0,0
1344,Myotis californicus,0,0
1344,Myotis yumanensis,0,0
1345,Aeorestes cinereus,0,0
1345,Myotis californicus,0,0
1345,Myotis yumanensis,0,0
1346,Aeorestes cinereus,0,0
1346,Myotis californicus,0,0
1346,Myotis yumanensis,0,0
1347,Aeorestes cinereus,1,1
1347,Myotis californicus,0,0
1347,Myotis yumanensis,0,0
1348,Aeorestes cinereus,0,0
1348,Myotis californicus,0,0
1348,Myotis yumanensis,0,0
1349,Aeorestes cinereus,0,0
1349,Myotis californicus,0,0
1349,Myotis yumanensis,0,0
1350,Aeorestes cinereus,0,0
1350,Myotis californicus,0,0
1350,Myotis yumanensis,0,0
1351,Aeorestes cinereus,0,0
1351,Myotis californicus,0,0
1351,Myotis yumanensis,0,0
1352,Aeorestes cinereus,0,0
1352,Myotis californicus,0,0
1352,Myotis yumanensis,0,0
1353,Aeorestes cinereus,0,0
1353,Myotis californicus,0,0
1353,Myotis yumanensis,0,0
1354,Aeorestes cinereus,0,0
1354,Myotis californicus,0,0
1354,Myotis yumanensis,0,0
1355,Aeorestes cinereus,0,0
1355,Myotis californicus,0,0
1355,Myotis yumanensis,0,0
1356,Aeorestes cinereus,0,0
1356,Myotis californicus,1,1
1356,Myotis yumanensis,0,0
1357,Aeorestes cinereus,0,0
1357,Myotis californicus,0,0
1357,Myotis yumanensis,0,0
1358,Aeorestes cinereus,0,0
1358,Myotis californicus,0,0
1358,Myotis yumanensis,0,0
1359,Aeorestes cinereus,0,0
1359,Myotis californicus,0,0
1359,Myotis yumanensis,0,0
1360,Aeorestes cinereus,0,0
1360,Myotis californicus,0,0
1360,Myotis yumanensis,0,0
1361,Aeorestes cinereus,0,0
1361,Myotis californicus,0,0
1361,Myotis yumanensis,0,0
1362,Aeorestes cinereus,0,0
1362,Myotis californicus,0,0
1362,Myotis yumanensis,0,0
1363,Aeorestes cinereus,0,0
1363,Myotis californicus,0,0
1363,Myotis yumanensis,0,0
