metric,value
n_cells_accessible,2811
n_points_input,455
n_points_unique_gbif_id,455
n_points_unmatched_to_grid,0
share_points_unmatched,0
n_species_observed,3
panel_rows,8433
panel_expected_rows,8433
total_obs_sum_n_obs,455
study_year_min,2012
study_year_max,2024
species=Aeorestes cinereus | total_obs / n_cells_present / share_present,202 / 128 / 0.0455
species=Myotis californicus | total_obs / n_cells_present / share_present,114 / 66 / 0.0235
species=Myotis yumanensis | total_obs / n_cells_present / share_present,139 / 79 / 0.0281
